         4535 function calls (4405 primitive calls) in 0.072 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 expressions.py:609(as_sql)
       12    0.000    0.000    0.000    0.000 weakref.py:342(get)
        4    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
       16    0.000    0.000    0.000    0.000 contextlib.py:82(helper)
       51    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 fields.py:71(__init__)
       48    0.000    0.000    0.000    0.000 {hasattr}
        1    0.000    0.000    0.000    0.000 compiler.py:1(<module>)
       56    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 compiler.py:769(get_converters)
        8    0.000    0.000    0.000    0.000 related.py:1939(get_default)
        6    0.000    0.000    0.000    0.000 __init__.py:336(get_col)
        2    0.000    0.000    0.000    0.000 uuid.py:202(get_bytes)
       80    0.000    0.000    0.000    0.000 {unicodedata.category}
       11    0.000    0.000    0.000    0.000 base.py:91(make_key)
        1    0.000    0.000    0.000    0.000 base.py:484(from_db)
        1    0.000    0.000    0.000    0.000 lookups.py:199(process_lhs)
        2    0.000    0.000    0.000    0.000 compiler.py:1151(<lambda>)
        4    0.000    0.000    0.000    0.000 re.py:271(_subx)
        4    0.000    0.000    0.000    0.000 base.py:211(create_cursor)
        1    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
       72    0.000    0.000    0.000    0.000 {thread.get_ident}
       17    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       28    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       67    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       16    0.000    0.000    0.000    0.000 threading.py:299(_is_owned)
       50    0.000    0.000    0.000    0.000 options.py:414(<genexpr>)
       12    0.000    0.000    0.000    0.000 utf_8.py:15(decode)
        3    0.000    0.000    0.000    0.000 utils.py:102(inner)
        8    0.000    0.000    0.000    0.000 util.py:14(remove_spaces_and_similar)
        4    0.000    0.000    0.000    0.000 re.py:251(_compile_repl)
        1    0.000    0.000    0.000    0.000 synch.py:26(__init__)
       10    0.000    0.000    0.000    0.000 utils.py:233(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
       39    0.000    0.000    0.000    0.000 {method 'get' of 'dictproxy' objects}
        5    0.000    0.000    0.000    0.000 expressions.py:619(get_db_converters)
        1    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
       13    0.000    0.000    0.000    0.000 compiler.py:335(quote_name_unless_alias)
        1    0.000    0.000    0.000    0.000 fields.py:141(run_validators)
        1    0.000    0.000    0.000    0.000 query.py:1078(build_lookup)
        3    0.000    0.000    0.000    0.000 operations.py:214(last_executed_query)
        7    0.000    0.000    0.000    0.000 dispatcher.py:13(_make_id)
       48    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
       13    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
       39    0.000    0.000    0.000    0.000 __init__.py:782(has_default)
        3    0.000    0.000    0.000    0.000 base.py:289(set_autocommit)
        6    0.000    0.000    0.000    0.000 {method 'cursor' of 'psycopg2.extensions.connection' objects}
        5    0.000    0.000    0.000    0.000 __init__.py:345(cached_col)
        6    0.000    0.000    0.000    0.000 locmem.py:105(_has_expired)
        8    0.000    0.000    0.000    0.000 utils.py:23(__getattr__)
        5    0.000    0.000    0.000    0.000 locmem.py:66(_set)
        4    0.000    0.000    0.000    0.000 where.py:296(clone)
        4    0.000    0.000    0.000    0.000 __init__.py:35(__getattr__)
       11    0.000    0.000    0.000    0.000 base.py:27(default_key_func)
        2    0.000    0.000    0.000    0.000 uuid.py:101(__init__)
        1    0.000    0.000    0.000    0.000 sre_parse.py:703(parse_template)
       12    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
        2    0.000    0.000    0.000    0.000 threading.py:411(Semaphore)
        1    0.000    0.000    0.000    0.000 util.py:4(is_valid_brazilian_zipcode)
       16    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
       13    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
        4    0.000    0.000    0.000    0.000 transaction.py:14(get_connection)
       10    0.000    0.000    0.000    0.000 __init__.py:46(__getattr__)
       18    0.000    0.000    0.000    0.000 {time.time}
        2    0.000    0.000    0.000    0.000 __init__.py:52(create_string_buffer)
        1    0.000    0.000    0.000    0.000 query.py:449(_extract_model_params)
       13    0.000    0.000    0.000    0.000 collections.py:353(<genexpr>)
        2    0.000    0.000    0.000    0.000 threading.py:432(__init__)
        1    0.000    0.000    0.000    0.000 manager.py:214(get_queryset)
        3    0.000    0.000    0.000    0.000 query.py:53(__init__)
        4    0.000    0.000    0.000    0.000 base.py:74(queries_logged)
        8    0.000    0.000    0.000    0.000 operations.py:92(quote_name)
       32    0.000    0.000    0.000    0.000 {method '__exit__' of 'thread.lock' objects}
       32    0.000    0.000    0.000    0.000 {method '__enter__' of 'thread.lock' objects}
